Gslib file
27  
BHID  
X  
Y  
Z_STRAT_TOP  
Z_MID  
Z_TOP  
Z_BOT  
LENGTH  
RC1  
AT1  
AA1  
ST1  
SR1  
FE1  
TI1  
PP1  
RC3  
AT3  
AA3  
ST3  
SR3  
FE3  
TI3  
PP3  
LITOM  
LPCP  
NORTH_FLAG  
131 588903.9132 9724952.4530 -3.3250 97.1650 97.4900 96.8400 0.6500 58.5584 58.3000 53.8000 3.4000 2.6000 5.8400 1.2200 30.3400 20.8987 58.4140 55.5020 2.9570 1.8520 7.2440 1.0630 30.1650 50 1 1
132 588903.8632 9724977.5230 -0.2500 100.1800 100.4300 99.9300 0.5000 68.0653 48.3000 46.1000 1.4000 0.6000 22.3000 1.5700 25.3900 18.7706 51.6680 49.5030 1.4620 0.5660 17.9330 1.2960 26.5910 50 1 1
132 588903.8632 9724977.5230 -0.7500 99.6800 99.9300 99.4300 0.5000 52.2517 49.3000 46.6000 2.0700 1.3000 20.4000 1.4000 25.4300 26.9760 51.9890 49.0760 1.7630 0.8420 17.3650 1.0880 26.6720 50 1 1
132 588903.8632 9724977.5230 -1.2500 99.1800 99.4300 98.9300 0.5000 58.2706 56.6000 53.1000 2.8300 2.3000 9.5000 1.4300 27.9800 22.8918 54.8750 51.5750 2.3570 1.2750 12.0510 1.1720 28.4750 50 1 1
132 588903.8632 9724977.5230 -1.7500 98.6800 98.9300 98.4300 0.5000 58.0467 56.2000 51.9000 3.3100 2.4000 10.1000 1.2700 27.9900 21.7978 55.3950 51.9320 2.5020 1.6620 12.4120 0.9610 27.7880 50 1 1
132 588903.8632 9724977.5230 -2.2750 98.1550 98.4300 97.8800 0.5500 47.7533 56.1000 50.6000 6.7400 5.3000 6.4000 1.1800 27.8700 19.3265 54.6450 45.3980 4.5250 3.9790 11.3610 0.7430 27.3740 50 1 1
133 588903.9732 9725002.3730 -0.2500 99.5800 99.8300 99.3300 0.5000 77.7207 50.8000 45.1000 2.8600 2.2000 16.2000 1.8000 26.4800 10.8850 53.2100 48.8660 2.9790 1.3330 13.5570 1.6900 27.0720 50 1 1
133 588903.9732 9725002.3730 -0.7500 99.0800 99.3300 98.8300 0.5000 73.2072 53.1000 49.6000 2.2200 1.2000 15.1000 1.7100 26.7500 13.1495 52.4430 49.7950 2.4270 1.2210 15.3310 1.4920 26.6680 50 1 1
133 588903.9732 9725002.3730 -1.2500 98.5800 98.8300 98.3300 0.5000 66.7724 55.6000 51.8000 2.7600 1.9000 10.3000 1.6500 27.9300 11.4881 53.2250 48.1750 4.0800 2.2250 13.2250 1.7520 26.5500 50 1 1
133 588903.9732 9725002.3730 -1.7500 98.0800 98.3300 97.8300 0.5000 69.0214 56.9000 52.2000 3.6600 2.5000 8.3800 1.4900 28.1500 8.7103 52.4520 47.1820 5.5590 3.4910 13.1450 1.5280 26.2270 50 1 1
133 588903.9732 9725002.3730 -2.2500 97.5800 97.8300 97.3300 0.5000 55.9710 54.8000 48.4000 6.4600 5.2000 8.4200 1.3700 27.2300 9.6501 51.5680 44.3300 6.7730 4.2320 14.9870 1.1970 25.8130 50 1 1
133 588903.9732 9725002.3730 -2.7500 97.0800 97.3300 96.8300 0.5000 58.5255 53.3000 47.0000 7.5300 5.8000 10.8000 1.3000 26.5400 8.9443 49.2980 42.0450 7.3190 5.1200 16.6940 1.1210 24.6860 50 1 1
133 588903.9732 9725002.3730 -3.2500 96.5800 96.8300 96.3300 0.5000 50.7385 49.0000 42.0000 6.7700 5.3000 17.9000 1.0600 24.6500 10.9646 47.2380 41.2000 5.7120 4.5610 21.7530 0.7740 24.1270 50 1 1
133 588903.9732 9725002.3730 -3.7500 96.0800 96.3300 95.8300 0.5000 65.5240 37.3000 33.1000 3.6700 2.7000 40.1000 0.7700 19.4900 12.8416 39.0780 35.5610 3.3330 1.9380 37.8150 0.6220 20.5380 50 1 1
