BHID,X,Y,Z_STRAT_TOP,Z_MID,Z_TOP,Z_BOT,LENGTH,RCG,ATG,AAG,STG,SRG,FEG,TIG,PPG,LITOM,LPCP,NORTH_FLAG
1571,590871.9981,9726379.866,-1.25,93.99,94.24,93.74,0.5,93.75959999999999,58.25144190034941,56.87126820080291,1.3023459144450276,1.0447870724704458,8.30798469703369,0.9973066864619731,30.679773996476097,50,2,1
1571,590871.9981,9726379.866,-1.85,93.39,93.74,93.04,0.7,92.91799999999999,58.86527023827461,57.26977035665856,1.6164323812393724,1.5740269054435092,7.194810951591726,0.9211621429647647,30.877054047654923,50,2,1
1571,590871.9981,9726379.866,-2.45,92.79,93.04,92.54,0.5,89.1709,58.34781635040131,56.17602602418502,2.5557205994332235,2.32602602418502,7.02157230666058,0.8862445371752444,30.59737981785538,50,2,1
1571,590871.9981,9726379.866,-2.95,92.29,92.54,92.04,0.5,87.5347,55.26748749924315,51.77836872691629,3.1583781403260645,3.073503147894492,11.406796870269734,0.9650250015136854,28.867387493188414,50,2,1
1571,590871.9981,9726379.866,-3.45,91.79,92.04,91.54,0.5,81.1003,58.35262717893768,54.63414036692836,3.733067201970893,3.609160779923132,6.096932798029107,0.7812792431100748,30.290976605511936,50,2,1
1571,590871.9981,9726379.866,-3.925,91.315,91.54,91.09,0.45,78.08590000000001,57.4196465559083,52.5354286369242,4.964217918984093,4.852989643456756,6.516752589135811,0.7778070688818339,29.751402071308647,50,2,1
1571,590871.9981,9726379.866,-4.275,90.965,91.09,90.84,0.25,74.207,56.48139256404383,50.13959875752961,6.1408360801541635,5.846442640182193,7.063064724352151,0.8325478863180025,29.042669532523888,50,2,1
1572,590888.4981,9726330.556,-0.25,97.3,97.55,97.05,0.5,89.89769999999999,50.60415315408515,49.289019151769175,0.63223153651317,0.3867857798364141,20.232721960628584,1.1833928899182071,27.08950957588459,50,2,1
1572,590888.4981,9726330.556,-0.75,96.8,97.05,96.55,0.5,90.8378,57.660675093408244,56.09803592777455,0.7603375467041252,0.7503375467041254,10.38936438354958,1.0761508094647825,30.40418673723934,50,2,1
1572,590888.4981,9726330.556,-1.25,96.3,96.55,96.05,0.5,87.78300000000002,57.891087454290684,56.27929804176207,1.1098830069603454,1.0998830069603454,9.91231377373751,1.0196187188863448,30.354077099210553,50,2,1
1572,590888.4981,9726330.556,-1.75,95.8,96.05,95.55,0.5,81.475,56.776729352562135,54.58802474378644,2.1168246210494015,2.1068246210494017,10.059905971156798,0.9976461491254986,29.86742468241792,50,2,1
1572,590888.4981,9726330.556,-2.2,95.35,95.55,95.15,0.4,59.4447,54.68814333321558,49.4026732071993,5.343612079798536,5.328184110610366,10.717910091227644,0.8589978921585945,28.437349250648083,50,2,1
1572,590888.4981,9726330.556,-2.575,94.975,95.15,94.8,0.35,56.0805,53.92765444316652,47.51881340216296,6.467693137543352,6.452119185813251,10.541396385552911,0.8472130241349488,27.834403937197422,50,2,1
1574,593822.8451,9726677.557,-0.25,89.84,90.09,89.59,0.5,93.6544,48.19840912973656,47.44718496941948,1.5870202681347594,1.4894285906481706,21.56416187600369,1.6017142280554892,26.17004134349267,50,2,1
1574,593822.8451,9726677.557,-0.85,89.24,89.59,88.89,0.7,91.13999999999999,49.83998597761686,47.716965273206064,2.4060920013166562,1.8917333443054645,18.525908327847272,1.787328768926926,26.874694107965773,50,2,1
1575,593924.3054,9726653.177,-0.25,89.55,89.8,89.3,0.5,82.4854,49.76804884258305,46.27205800056738,4.94199694733856,4.024009157984322,15.832027473952966,2.058003052661441,26.73,50,2,1
1575,593924.3054,9726653.177,-0.75,89.05,89.3,88.8,0.5,84.0067,50.851866648731594,44.542892721651974,7.4089246333923375,7.0344869635398135,11.993597094041307,2.3542521727433647,26.730000000000004,50,2,1
1576,590663.9775,9726051.036,-0.25,93.49,93.74,93.24,0.5,95.5794,54.735921254998466,53.03072387983184,1.101541357238066,1.0915413572380661,14.029595582311668,1.2541400448213735,28.864393886130273,50,2,1
1576,590663.9775,9726051.036,-0.75,92.99,93.24,92.74,0.5,91.5926,54.75848798920437,53.13594505451313,1.073402065232344,1.0161168478676226,13.852096195544181,1.1859106521705902,29.210103097848517,50,2,1
1576,590663.9775,9726051.036,-1.25,92.49,92.74,92.24,0.5,90.8382,57.89011232058761,56.15848857639187,1.6271780814679289,1.5417917792294429,8.56241827777301,0.9951287674128285,30.71730136660568,50,2,1
1576,590663.9775,9726051.036,-1.75,91.99,92.24,91.74,0.5,81.8733,58.6297756045011,56.524607802543684,2.082501548123747,2.072501548123747,7.429684952237176,0.9963331269168337,30.602270960129857,50,2,1
1576,590663.9775,9726051.036,-2.15,91.59,91.74,91.44,0.3,66.6965,54.353824788407195,50.51101945379443,4.041635303201818,4.031635303201818,12.269996656496216,0.8773691423088169,28.608169664075326,50,2,1
1577,590681.2376,9726003.646,-0.325,94.475,94.8,94.15,0.65,87.8001,46.298047610424135,44.60152260646628,2.566496245448468,0.9144112478231802,24.705254834561693,1.1823262501978926,25.70156254947318,50,2,1
1577,590681.2376,9726003.646,-0.925,93.875,94.15,93.6,0.55,65.9688,48.85228230618111,44.07748763051624,5.0427092807509,5.028883335758723,19.39379329319315,1.164433504929603,26.060180585367625,50,2,1
1578,590697.5076,9725955.795,-0.1,94.53,94.63,94.43,0.2,90.7348,50.42652724202841,49.11018211314733,1.3114361854547536,0.6663236597204159,19.786205954055117,1.1563451288810906,27.40484453594431,50,2,1
1578,590697.5076,9725955.795,-0.5,94.13,94.43,93.83,0.6,88.60319999999999,50.41383450033408,47.772517640446395,2.864142062589162,2.458994438124131,18.21845208750926,1.2430846177113242,27.263555300485763,50,2,1
1579,590680.5176,9726081.216,-0.25,94.43,94.68,94.18,0.5,87.9881,56.04990990827168,54.593744233595224,1.7527818079944901,1.0835640501385984,11.057112723197795,1.1936541418669113,29.986150297597057,50,2,1
1579,590680.5176,9726081.216,-0.75,93.93,94.18,93.68,0.5,85.25710000000001,53.42854463733811,51.6568874967598,2.5029910705384064,1.4730071395813367,14.29949108050825,1.1410428574277096,29.069417854935246,50,2,1
1579,590680.5176,9726081.216,-1.25,93.43,93.68,93.18,0.5,83.25829999999999,53.300167046408596,51.532055518789115,2.3900000000000006,1.6846975376629119,14.422977336794052,1.2077209359307122,29.057227783896625,50,2,1
1579,590680.5176,9726081.216,-1.8,92.88,93.18,92.58,0.6,59.2795,52.030184819372636,46.839726347219525,6.1191966700124,5.705661704299127,13.116459450568914,0.8774243878575224,27.636985112897374,50,2,1
1580,590696.3976,9726033.106,-0.25,92.69,92.94,92.44,0.5,90.1246,51.99432146162091,50.927147682208854,1.5843214616209116,0.5248833281923027,17.091123733142783,1.315747620516485,28.397078600071456,50,2,1
1580,590696.3976,9726033.106,-0.75,92.19,92.44,91.94,0.5,91.2554,55.919631802611136,54.84269779103483,1.6881225001479363,1.0431461918965892,11.372967528496945,1.1655377325615799,30.213499825763737,50,2,1
1580,590696.3976,9726033.106,-1.25,91.69,91.94,91.44,0.5,89.7738,56.49008775388811,54.83373836241755,1.6098253944914889,1.564506626654993,10.592951284227693,1.1341135386939174,30.07717048849442,50,2,1
1580,590696.3976,9726033.106,-1.725,91.215,91.44,90.99,0.45,83.17790000000001,56.847637064652986,54.80881184785863,2.224166190779041,2.155037251481463,9.247339052801285,1.0871843362239249,30.200958932601083,50,2,1
1580,590696.3976,9726033.106,-2.25,90.69,90.99,90.39,0.6,62.4552,53.029416862006684,47.072596549206466,6.346032548130499,6.3060325481305,11.66951043307843,0.8955506667179034,27.766615686123814,50,2,1
1580,590696.3976,9726033.106,-2.8,90.14,90.39,89.89,0.5,55.7055,53.369447594941256,46.00954035059375,5.333584062615002,4.19042247174875,11.903063952392493,0.9071959142275,28.006286004075005,50,2,1
1581,590713.4276,9725987.055,-0.25,92.47,92.72,92.22,0.5,91.1751,50.10580905312963,48.794330688971,0.9845815798392323,0.8986378188781806,20.186836175666386,1.2630543865594883,27.115613736645198,50,2,1
1581,590713.4276,9725987.055,-0.75,91.97,92.22,91.72,0.5,87.8592,53.48967584498835,51.835409564393935,1.364334298513986,1.2552445731351982,15.002863945949882,1.1961548477564101,28.72557164189977,50,2,1
1581,590713.4276,9725987.055,-1.25,91.47,91.72,91.22,0.5,82.2637,54.31668303273497,51.20184230711723,3.2756715902639923,3.2656715902639926,12.866141299260791,1.0173497545089754,28.80355334126717,50,2,1
1582,590727.9377,9725939.015,-0.25,96.27,96.52,96.02,0.5,79.1032,50.83276534956866,47.68549201549368,3.0821494958484617,3.048161768424033,17.484487530213695,1.335785050415154,27.108159543482444,50,2,1
1582,590727.9377,9725939.015,-0.75,95.77,96.02,95.52,0.5,87.1506,53.834169127923396,51.20416912792339,2.6641265579353446,2.5784126557935343,13.516227036876396,1.1621031639483836,28.696508916748716,50,2,1
1582,590727.9377,9725939.015,-1.25,95.27,95.52,95.02,0.5,83.0599,54.36250985132417,52.86490921611994,3.1949368588211637,2.67531570589418,12.473575395588004,1.1716456196070546,29.102647980553797,50,2,1
1582,590727.9377,9725939.015,-1.75,94.77,95.02,94.52,0.5,82.3305,54.8548604709069,51.801736233838014,3.337264258081756,3.327264258081756,11.030598806031788,1.0882031567887964,29.032897650324,50,2,1
1582,590727.9377,9725939.015,-2.25,94.27,94.52,94.02,0.5,64.9417,54.70874793853565,50.306231512264084,4.879704719771734,4.769429596083873,10.55656003769535,1.0141014633124787,28.709934294913744,50,2,1
1582,590727.9377,9725939.015,-2.75,93.77,94.02,93.52,0.5,60.4444,51.51339962014678,46.3028922447737,5.543701385074548,5.533701385074548,14.307020600750441,0.9659700485073885,27.23343092164038,50,2,1
1583,590714.1477,9726062.216,-0.25,94.83,95.08,94.58,0.5,88.40969999999999,44.53522267353017,43.29522267353017,1.9280299333670403,0.15632148961030295,28.068048200593378,1.2840411289711424,24.749787048253754,50,2,1
1583,590714.1477,9726062.216,-0.75,94.33,94.58,94.08,0.5,88.7018,47.716424604686715,46.51866419847173,1.6941335801528266,1.087276966194598,23.702101761181844,1.2379332099235867,26.004455873499747,50,2,1
1583,590714.1477,9726062.216,-1.25,93.83,94.08,93.58,0.5,84.18599999999999,53.03985863445228,50.68386387285297,2.2335514812439126,2.1546596821324213,14.994458995557457,1.2486649205331053,28.46559685695959,50,2,1
1583,590714.1477,9726062.216,-1.75,93.33,93.58,93.08,0.5,69.88499999999999,51.75054153251771,47.45996145095514,4.404777420047221,4.243210646061388,15.269407068755813,0.9421083065035417,27.535267553838448,50,2,1
1584,590727.8377,9726017.266,-0.25,93.19,93.44,92.94,0.5,86.2283,53.58599709144214,52.27662433331052,1.3403926321172979,0.8949413475622271,15.449729520354685,1.2682355792703788,28.993763451210327,50,2,1
1584,590727.8377,9726017.266,-0.75,92.69,92.94,92.44,0.5,84.3007,55.579596302284564,53.70959630228455,1.9721876330801522,1.8385998574151814,11.769557927751487,1.2630092395436812,29.782153517111954,50,2,1
1584,590727.8377,9726017.266,-1.2,92.24,92.44,92.04,0.4,80.7395,56.35500213650071,54.14024257024133,2.5733374618371427,2.337899726899473,10.027315935818278,0.9984134779135365,29.951302955802305,50,2,1
